State,County Name,Date,Case Count
NV,Clark County ,2020-06-28,12305
NV,Washoe County ,2020-06-28,2419
NV,Elko County ,2020-06-28,91
NV,Lyon County ,2020-06-28,105
NV,Nye County ,2020-06-28,85
NV,Clark County ,2020-07-05,16380
NV,Washoe County ,2020-07-05,2855
NV,Elko County ,2020-07-05,129
NV,Lyon County ,2020-07-05,120
NV,Nye County ,2020-07-05,113
NV,Clark County ,2020-07-12,20857
NV,Washoe County ,2020-07-12,3401
NV,Elko County ,2020-07-12,194
NV,Lyon County ,2020-07-12,136
NV,Nye County ,2020-07-12,166
NV,Clark County ,2020-07-19,27012
NV,Washoe County ,2020-07-19,3834
NV,Elko County ,2020-07-19,283
NV,Lyon County ,2020-07-19,150
NV,Nye County ,2020-07-19,206
NV,Clark County ,2020-07-26,33997
NV,Washoe County ,2020-07-26,4384
NV,Elko County ,2020-07-26,362
NV,Lyon County ,2020-07-26,163
NV,Nye County ,2020-07-26,271
NV,Clark County ,2020-08-02,40303
NV,Washoe County ,2020-08-02,5008
NV,Elko County ,2020-08-02,445
NV,Lyon County ,2020-08-02,189
NV,Nye County ,2020-08-02,314
NV,Clark County ,2020-08-09,46286
NV,Washoe County ,2020-08-09,5534
NV,Elko County ,2020-08-09,514
NV,Lyon County ,2020-08-09,215
NV,Nye County ,2020-08-09,375
NV,Clark County ,2020-08-16,50858
NV,Washoe County ,2020-08-16,5995
NV,Elko County ,2020-08-16,589
NV,Lyon County ,2020-08-16,249
NV,Nye County ,2020-08-16,418
NV,Clark County ,2020-08-23,55023
NV,Washoe County ,2020-08-23,6492
NV,Elko County ,2020-08-23,663
NV,Lyon County ,2020-08-23,276
NV,Nye County ,2020-08-23,447
NV,Clark County ,2020-08-30,57885
NV,Washoe County ,2020-08-30,6962
NV,Elko County ,2020-08-30,756
NV,Lyon County ,2020-08-30,310
NV,Nye County ,2020-08-30,464
NV,Clark County ,2020-09-06,60160
NV,Washoe County ,2020-09-06,7366
NV,Elko County ,2020-09-06,832
NV,Lyon County ,2020-09-06,340
NV,Nye County ,2020-09-06,474
NV,Clark County ,2020-09-13,61948
NV,Washoe County ,2020-09-13,7831
NV,Elko County ,2020-09-13,869
NV,Lyon County ,2020-09-13,366
NV,Nye County ,2020-09-13,485
NV,Clark County ,2020-09-20,63397
NV,Washoe County ,2020-09-20,8319
NV,Elko County ,2020-09-20,894
NV,Lyon County ,2020-09-20,393
NV,Nye County ,2020-09-20,491
NV,Clark County ,2020-09-27,65153
NV,Washoe County ,2020-09-27,8927
NV,Elko County ,2020-09-27,929
NV,Lyon County ,2020-09-27,422
NV,Nye County ,2020-09-27,499
NV,Clark County ,2020-10-04,67683
NV,Washoe County ,2020-10-04,9619
NV,Elko County ,2020-10-04,981
NV,Lyon County ,2020-10-04,443
NV,Nye County ,2020-10-04,515
NV,Clark County ,2020-10-11,70273
NV,Washoe County ,2020-10-11,10212
NV,Elko County ,2020-10-11,1040
NV,Lyon County ,2020-10-11,474
NV,Nye County ,2020-10-11,528
NV,Clark County ,2020-10-18,73202
NV,Washoe County ,2020-10-18,10949
NV,Elko County ,2020-10-18,1133
NV,Lyon County ,2020-10-18,529
NV,Nye County ,2020-10-18,561
NV,Clark County ,2020-10-25,76977
NV,Washoe County ,2020-10-25,11880
NV,Elko County ,2020-10-25,1276
NV,Lyon County ,2020-10-25,567
NV,Nye County ,2020-10-25,607
NV,Clark County ,2020-11-01,80904
NV,Washoe County ,2020-11-01,13067
NV,Elko County ,2020-11-01,1431
NV,Lyon County ,2020-11-01,611
NV,Nye County ,2020-11-01,690
NV,Clark County ,2020-11-08,85917
NV,Washoe County ,2020-11-08,14535
NV,Elko County ,2020-11-08,1658
NV,Lyon County ,2020-11-08,647
NV,Nye County ,2020-11-08,789
NV,Clark County ,2020-11-15,92193
NV,Washoe County ,2020-11-15,16951
NV,Elko County ,2020-11-15,1911
NV,Lyon County ,2020-11-15,696
NV,Nye County ,2020-11-15,957
NV,Clark County ,2020-11-22,100344
NV,Washoe County ,2020-11-22,19594
NV,Elko County ,2020-11-22,2176
NV,Lyon County ,2020-11-22,738
NV,Nye County ,2020-11-22,1092
NV,Clark County ,2020-11-29,110959
NV,Washoe County ,2020-11-29,23096
NV,Elko County ,2020-11-29,2566
NV,Lyon County ,2020-11-29,1056
NV,Nye County ,2020-11-29,1225
NV,Clark County ,2020-12-06,122029
NV,Washoe County ,2020-12-06,26040
NV,Elko County ,2020-12-06,2983
NV,Lyon County ,2020-12-06,1374
NV,Nye County ,2020-12-06,1391
NV,Clark County ,2020-12-13,135166
NV,Washoe County ,2020-12-13,29073
NV,Elko County ,2020-12-13,3322
NV,Lyon County ,2020-12-13,1651
NV,Nye County ,2020-12-13,1565
NV,Clark County ,2020-12-20,148279
NV,Washoe County ,2020-12-20,31708
NV,Elko County ,2020-12-20,3531
NV,Lyon County ,2020-12-20,1851
NV,Nye County ,2020-12-20,1751
NV,Clark County ,2020-12-27,159785
NV,Washoe County ,2020-12-27,33803
NV,Elko County ,2020-12-27,3715
NV,Lyon County ,2020-12-27,1996
NV,Nye County ,2020-12-27,1893
