date,State,total_cases,total_deaths,new_cases,new_deaths
2020-07-05,NV,19980,519,,
2020-07-12,NV,25199,566,5219.0,47.0
2020-07-19,NV,32008,624,6809.0,58.0
2020-07-26,NV,39766,699,7758.0,75.0
2020-08-02,NV,46946,788,7180.0,89.0
2020-08-09,NV,53694,901,6748.0,113.0
2020-08-16,NV,58974,1019,5280.0,118.0
2020-08-23,NV,63808,1138,4834.0,119.0
2020-08-30,NV,67342,1259,3534.0,121.0
2020-09-06,NV,70191,1346,2849.0,87.0
2020-09-13,NV,72564,1422,2373.0,76.0
2020-09-20,NV,74680,1501,2116.0,79.0
2020-09-27,NV,77168,1557,2488.0,56.0
2020-10-04,NV,80530,1604,3362.0,47.0
2020-10-11,NV,83883,1642,3353.0,38.0
2020-10-18,NV,87896,1689,4013.0,47.0
2020-10-25,NV,92994,1731,5098.0,42.0
2020-11-01,NV,98593,1765,5599.0,34.0
2020-11-08,NV,105610,1820,7017.0,55.0
2020-11-15,NV,115064,1878,9454.0,58.0
2020-11-22,NV,126699,1959,11635.0,81.0
2020-11-29,NV,142334,2071,15635.0,112.0
2020-12-06,NV,157992,2216,15658.0,145.0
2020-12-13,NV,175855,2407,17863.0,191.0
2020-12-20,NV,192891,2635,17036.0,228.0
2020-12-27,NV,207382,2845,14491.0,210.0
2020-07-05,MD,68431,3178,2701.0,77.0
2020-07-12,MD,71428,3262,2997.0,84.0
2020-07-19,MD,76432,3340,5004.0,78.0
2020-07-26,MD,81365,3399,4933.0,59.0
2020-08-02,MD,87398,3462,6033.0,63.0
2020-08-09,MD,93178,3530,5780.0,68.0
2020-08-16,MD,98196,3601,5018.0,71.0
2020-08-23,MD,102324,3650,4128.0,49.0
2020-08-30,MD,106135,3708,3811.0,58.0
2020-09-06,MD,110131,3761,3996.0,53.0
2020-09-13,MD,114294,3807,4163.0,46.0
2020-09-20,MD,118458,3845,4164.0,38.0
2020-09-27,MD,121892,3892,3434.0,47.0
2020-10-04,MD,125528,3935,3636.0,43.0
2020-10-11,MD,129471,3965,3943.0,30.0
2020-10-18,MD,133673,4010,4202.0,45.0
2020-10-25,MD,138070,4051,4397.0,41.0
2020-11-01,MD,143437,4106,5367.0,55.0
2020-11-08,MD,150262,4162,6825.0,56.0
2020-11-15,MD,160303,4233,10041.0,71.0
2020-11-22,MD,174730,4346,14427.0,113.0
2020-11-29,MD,190226,4495,15496.0,149.0
2020-12-06,MD,206400,4699,16174.0,204.0
2020-12-13,MD,225836,4952,19436.0,253.0
2020-12-20,MD,244018,5250,18182.0,298.0
2020-12-27,MD,260398,5551,16380.0,301.0
2020-07-05,NC,68183,1349,10066.0,77.0
2020-07-12,NC,79651,1437,11468.0,88.0
2020-07-19,NC,93515,1561,13864.0,124.0
2020-07-26,NC,106878,1700,13363.0,139.0
2020-08-02,NC,119913,1863,13035.0,163.0
2020-08-09,NC,131236,2065,11323.0,202.0
2020-08-16,NC,140541,2239,9305.0,174.0
2020-08-23,NC,150072,2428,9531.0,189.0
2020-08-30,NC,161079,2597,11007.0,169.0
2020-09-06,NC,172012,2777,10933.0,180.0
2020-09-13,NC,181065,2961,9053.0,184.0
2020-09-20,NC,189527,3136,8462.0,175.0
2020-09-27,NC,200281,3326,10754.0,190.0
2020-10-04,NC,212804,3532,12523.0,206.0
2020-10-11,NC,225384,3685,12580.0,153.0
2020-10-18,NC,239082,3844,13698.0,159.0
2020-10-25,NC,252806,3986,13724.0,142.0
2020-11-01,NC,265711,4167,12905.0,181.0
2020-11-08,NC,284590,4441,18879.0,274.0
2020-11-15,NC,302617,4661,18027.0,220.0
2020-11-22,NC,324334,4846,21717.0,185.0
2020-11-29,NC,350218,5091,25884.0,245.0
2020-12-06,NC,378559,5351,28341.0,260.0
2020-12-13,NC,417040,5670,38481.0,319.0
2020-12-20,NC,459045,6009,42005.0,339.0
2020-12-27,NC,489191,6224,30146.0,215.0
2020-06-28,OH,48122,2766,,
2020-07-05,OH,53838,2858,5716.0,92.0
