ID,MD,NC,NV,OH,TX
374,1131,650,648,460,604
526,1181,759,818,526,793
722,1264,891,1039,605,1016
937,1345,1019,1291,685,1238
1124,1445,1143,1524,764,1420
1302,1541,1251,1743,833,1607
1482,1624,1340,1914,900,1771
1616,1692,1430,2071,957,1936
1734,1755,1535,2186,1016,2056
1838,1821,1640,2278,1086,2158
1933,1890,1726,2355,1148,2240
2042,1959,1807,2424,1210,2336
2193,2016,1909,2505,1264,2490
2373,2076,2029,2614,1328,2595
2593,2141,2148,2723,1405,2694
2838,2211,2279,2853,1504,2793
3162,2283,2410,3019,1630,2915
3501,2372,2533,3200,1789,3091
3891,2485,2713,3428,2015,3474
4370,2651,2885,3735,2357,3708
4916,2890,3092,4113,2714,3984
5417,3146,3339,4620,3314,4280
5945,3414,3609,5129,3831,4589
6565,3735,3976,5709,4527,4939
7078,4036,4376,6262,5100,5297
7455,4307,4664,6732,5564,5656
