country,date,total_cases,total_deaths,new_cases,new_deaths
Bangladesh,2020-07-05,152615,1923,24165,283
Bangladesh,2020-07-12,175036,2230,22421,307
Bangladesh,2020-07-19,196116,2502,21080,272
Bangladesh,2020-07-26,215802,2795,19686,293
Bangladesh,2020-08-02,234394,3068,18592,273
Bangladesh,2020-08-09,249666,3298,15272,230
Bangladesh,2020-08-16,268939,3550,19273,252
Bangladesh,2020-08-23,287445,3820,18506,270
Bangladesh,2020-08-30,304283,4121,16838,301
Bangladesh,2020-09-06,319356,4381,15073,260
Bangladesh,2020-09-13,332712,4628,13356,247
Bangladesh,2020-09-20,344202,4853,11490,225
Bangladesh,2020-09-27,355116,5069,10914,216
Bangladesh,2020-10-04,364814,5273,9698,204
Bangladesh,2020-10-11,374387,5454,9573,181
Bangladesh,2020-10-18,384354,5608,9967,154
Bangladesh,2020-10-25,394640,5742,10286,134
Bangladesh,2020-11-01,404710,5881,10070,139
Bangladesh,2020-11-08,415754,6018,11044,137
Bangladesh,2020-11-15,427126,6141,11372,123
Bangladesh,2020-11-22,441023,6301,13897,160
Bangladesh,2020-11-29,456295,6515,15272,214
Bangladesh,2020-12-06,471533,6742,15238,227
Bangladesh,2020-12-13,485616,6962,14083,220
Bangladesh,2020-12-20,496846,7186,11230,224
Bangladesh,2020-12-27,505880,7379,9034,193
Indonesia,2020-07-05,59318,2985,8428,338
Indonesia,2020-07-12,70294,3419,10976,434
Indonesia,2020-07-19,81692,3878,11398,459
Indonesia,2020-07-26,93567,4536,11875,658
Indonesia,2020-08-02,106127,5047,12560,511
Indonesia,2020-08-09,119134,5519,13007,472
Indonesia,2020-08-16,133076,5957,13942,438
Indonesia,2020-08-23,147287,6431,14211,474
Indonesia,2020-08-30,163350,7056,16063,625
Indonesia,2020-09-06,184227,7726,20877,670
Indonesia,2020-09-13,207376,8438,23149,712
Indonesia,2020-09-20,232865,9209,25489,771
Indonesia,2020-09-27,262083,10072,29218,863
Indonesia,2020-10-04,291162,10835,29079,763
Indonesia,2020-10-11,320233,11565,29071,730
Indonesia,2020-10-18,349191,12239,28958,674
Indonesia,2020-10-25,377476,12964,28285,725
Indonesia,2020-11-01,403390,13690,25914,726
Indonesia,2020-11-08,426061,14341,22671,651
Indonesia,2020-11-15,453311,14945,27250,604
Indonesia,2020-11-22,483803,15589,30492,644
Indonesia,2020-11-29,517406,16381,33603,792
Indonesia,2020-12-06,557060,17341,39654,960
Indonesia,2020-12-13,599274,18336,42214,995
Indonesia,2020-12-20,643639,19394,44365,1058
Indonesia,2020-12-27,692668,20631,49029,1237
Nigeria,2020-07-05,26388,601,4005,58
Nigeria,2020-07-12,30299,682,3911,81
Nigeria,2020-07-19,34285,759,3986,77
Nigeria,2020-07-26,38356,820,4071,61
